onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	NY	0.61	4	1	0	1	n/a
27.44	0	button press	n/a	n/a	n/a	n/a	n/a	50
32.57	4.83	NY	0.75	3	1	0	1	n/a
33.31	0	button press	n/a	n/a	n/a	n/a	n/a	50
38.97	4.83	YY	0.67	6	1	1	1	n/a
39.64	0	button press	n/a	n/a	n/a	n/a	n/a	50
40.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
40.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.20	0	button press	n/a	n/a	n/a	n/a	n/a	54
47.27	4.83	NY	0.55	5	1	0	1	n/a
47.81	0	button press	n/a	n/a	n/a	n/a	n/a	50
49.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
54.76	4.83	YY	0.62	6	1	1	1	n/a
55.37	0	button press	n/a	n/a	n/a	n/a	n/a	50
56.57	0	button press	n/a	n/a	n/a	n/a	n/a	54
56.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.33	4.83	YY	0.65	5	1	1	1	n/a
63.98	0	button press	n/a	n/a	n/a	n/a	n/a	50
70.05	4.83	YY	0.75	6	1	1	1	n/a
70.80	0	button press	n/a	n/a	n/a	n/a	n/a	50
71.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
72.14	0	button press	n/a	n/a	n/a	n/a	n/a	54
72.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.61	4.83	YY	0.58	5	1	1	1	n/a
79.19	0	button press	n/a	n/a	n/a	n/a	n/a	50
80.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.91	0	button press	n/a	n/a	n/a	n/a	n/a	54
81.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
85.02	4.83	YY	0.82	6	1	3	1	n/a
85.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
86.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.58	4.83	YY	0.68	6	1	3	1	n/a
94.26	0	button press	n/a	n/a	n/a	n/a	n/a	50
99.72	4.83	YY	0.62	5	1	3	1	n/a
100.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
101.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
101.80	0	button press	n/a	n/a	n/a	n/a	n/a	54
106.16	4.83	YY	0.62	6	1	3	1	n/a
106.78	0	button press	n/a	n/a	n/a	n/a	n/a	50
108.06	0	button press	n/a	n/a	n/a	n/a	n/a	54
108.26	0	button press	n/a	n/a	n/a	n/a	n/a	54
108.49	0	button press	n/a	n/a	n/a	n/a	n/a	54
111.91	4.83	YN	0.94	1	1	1	0	n/a
112.84	0	button press	n/a	n/a	n/a	n/a	n/a	51
114.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
114.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
114.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
117.78	4.83	NN	0.81	3	1	0	0	n/a
118.60	0	button press	n/a	n/a	n/a	n/a	n/a	51
