onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	YY	1.01	4	1	3	1	n/a
27.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
28.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
32.65	4.83	YY	0.70	6	1	3	1	n/a
33.35	0	button press	n/a	n/a	n/a	n/a	n/a	50
34.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.66	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
38.89	4.83	NY	0.95	4	1	0	1	n/a
39.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
40.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
41.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
41.31	0	button press	n/a	n/a	n/a	n/a	n/a	55
44.95	4.83	NN	0.76	4	1	0	0	n/a
45.72	0	button press	n/a	n/a	n/a	n/a	n/a	51
47.23	0	button press	n/a	n/a	n/a	n/a	n/a	54
51.21	4.83	NN	0.95	5	1	0	0	n/a
52.16	0	button press	n/a	n/a	n/a	n/a	n/a	51
53.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
53.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.10	4.83	NN	0.75	5	1	0	0	n/a
59.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
61.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
67.74	4.83	YY	0.75	5	1	3	1	n/a
68.49	0	button press	n/a	n/a	n/a	n/a	n/a	50
69.64	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
74.44	4.83	YY	0.97	5	1	3	1	n/a
75.40	0	button press	n/a	n/a	n/a	n/a	n/a	50
76.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
76.65	0	button press	n/a	n/a	n/a	n/a	n/a	55
82.19	4.83	YY	0.65	6	1	3	1	n/a
82.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
84.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
84.54	0	button press	n/a	n/a	n/a	n/a	n/a	54
85.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
88.53	4.83	NN	0.83	5	1	0	0	n/a
89.37	0	button press	n/a	n/a	n/a	n/a	n/a	51
90.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
90.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
96.51	4.83	NN	0.78	5	1	0	0	n/a
97.29	0	button press	n/a	n/a	n/a	n/a	n/a	51
99.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
99.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
103.50	4.83	NN	0.75	4	1	0	0	n/a
104.25	0	button press	n/a	n/a	n/a	n/a	n/a	51
106.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
110.94	4.83	YN	1.03	3	1	1	0	n/a
111.97	0	button press	n/a	n/a	n/a	n/a	n/a	51
112.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
113.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
117.80	4.83	YY	0.87	5	1	1	1	n/a
118.67	0	button press	n/a	n/a	n/a	n/a	n/a	50
119.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
125.97	4.83	NN	1.08	4	1	0	0	n/a
127.06	0	button press	n/a	n/a	n/a	n/a	n/a	51
128.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
133.10	4.83	NN	0.82	4	1	0	0	n/a
133.92	0	button press	n/a	n/a	n/a	n/a	n/a	51
135.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
142.39	4.83	YY	0.68	5	1	1	1	n/a
