onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	NN	1.04	5	1	0	0	n/a
27.87	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
33.43	4.83	YN	1.08	6	1	3	0	n/a
34.51	0	button press	n/a	n/a	n/a	n/a	n/a	50
35.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
35.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
36.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
40.42	4.83	YY	0.90	4	1	3	1	n/a
41.32	0	button press	n/a	n/a	n/a	n/a	n/a	51
42.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
43.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
43.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
47.80	4.83	NN	0.70	6	1	0	0	n/a
48.50	0	button press	n/a	n/a	n/a	n/a	n/a	50
49.68	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
56.40	4.83	YY	0.98	6	1	3	1	n/a
57.39	0	button press	n/a	n/a	n/a	n/a	n/a	51
58.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
58.65	0	button press	n/a	n/a	n/a	n/a	n/a	55
58.87	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.83	4.83	NY	1.18	3	1	0	1	n/a
66.01	0	button press	n/a	n/a	n/a	n/a	n/a	51
67.31	0	button press	n/a	n/a	n/a	n/a	n/a	55
73.67	4.83	YY	0.78	5	1	1	1	n/a
74.45	0	button press	n/a	n/a	n/a	n/a	n/a	51
76.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
79.69	4.83	NN	0.78	4	1	0	0	n/a
80.48	0	button press	n/a	n/a	n/a	n/a	n/a	50
87.30	4.83	YY	0.90	3	1	1	1	n/a
88.20	0	button press	n/a	n/a	n/a	n/a	n/a	51
90.91	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.76	4.83	NN	0.87	6	1	0	0	n/a
94.63	0	button press	n/a	n/a	n/a	n/a	n/a	50
95.57	0	button press	n/a	n/a	n/a	n/a	n/a	55
95.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.14	4.83	YY	0.88	4	1	1	1	n/a
101.02	0	button press	n/a	n/a	n/a	n/a	n/a	51
102.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
103.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
106.94	4.83	YN	0.87	6	1	3	0	n/a
107.81	0	button press	n/a	n/a	n/a	n/a	n/a	50
108.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
109.64	0	button press	n/a	n/a	n/a	n/a	n/a	55
109.84	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
112.84	4.83	NN	0.77	6	1	0	0	n/a
113.60	0	button press	n/a	n/a	n/a	n/a	n/a	50
114.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
115.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
121.28	4.83	NN	0.65	6	1	0	0	n/a
121.93	0	button press	n/a	n/a	n/a	n/a	n/a	50
123.14	0	button press	n/a	n/a	n/a	n/a	n/a	55
128.67	4.83	YY	0.87	3	1	1	1	n/a
129.54	0	button press	n/a	n/a	n/a	n/a	n/a	51
132.25	0	button press	n/a	n/a	n/a	n/a	n/a	54
137.21	4.83	NN	0.68	5	1	0	0	n/a
137.89	0	button press	n/a	n/a	n/a	n/a	n/a	50
138.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
140.02	0	button press	n/a	n/a	n/a	n/a	n/a	54
145.45	4.83	NN	1.10	5	1	0	0	n/a
146.55	0	button press	n/a	n/a	n/a	n/a	n/a	50
148.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
151.09	4.83	NN	0.72	6	1	0	0	n/a
