onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	CC	0.91	5	0	1	1	n/a
27.74	0	button press	n/a	n/a	n/a	n/a	n/a	51
29.24	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.49	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
30.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
31.03	0	button press	n/a	n/a	n/a	n/a	n/a	55
31.27	0	button press	n/a	n/a	n/a	n/a	n/a	55
35.01	4.83	AC	0.95	1	0	3	1	n/a
35.96	0	button press	n/a	n/a	n/a	n/a	n/a	51
37.41	0	button press	n/a	n/a	n/a	n/a	n/a	55
37.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
37.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
42.92	4.83	CC	1.35	6	0	1	1	n/a
44.27	0	button press	n/a	n/a	n/a	n/a	n/a	51
45.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
45.58	0	button press	n/a	n/a	n/a	n/a	n/a	54
45.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
50.23	4.83	missed_trial	n/a	n/a	0	3	n/a	n/a
51.44	0	button press	n/a	n/a	n/a	n/a	n/a	54
51.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
58.50	4.83	AA	1.20	6	0	3	3	n/a
59.70	0	button press	n/a	n/a	n/a	n/a	n/a	50
60.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
60.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
66.78	4.83	CA	0.83	6	0	1	3	n/a
67.61	0	button press	n/a	n/a	n/a	n/a	n/a	50
68.72	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.97	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.32	4.83	CA	1.17	1	0	1	3	n/a
76.48	0	button press	n/a	n/a	n/a	n/a	n/a	50
77.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.56	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
82.27	4.83	AA	1.23	3	0	3	3	n/a
83.51	0	button press	n/a	n/a	n/a	n/a	n/a	50
84.51	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
90.37	4.83	CC	0.92	4	0	1	1	n/a
91.28	0	button press	n/a	n/a	n/a	n/a	n/a	51
92.48	0	button press	n/a	n/a	n/a	n/a	n/a	54
97.81	4.83	AA	1.03	5	0	3	3	n/a
98.84	0	button press	n/a	n/a	n/a	n/a	n/a	50
99.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
100.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
104.15	4.83	CA	0.92	4	0	1	3	n/a
105.07	0	button press	n/a	n/a	n/a	n/a	n/a	50
106.30	0	button press	n/a	n/a	n/a	n/a	n/a	54
106.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
106.73	0	button press	n/a	n/a	n/a	n/a	n/a	54
110.71	4.83	AA	0.88	4	0	3	3	n/a
111.59	0	button press	n/a	n/a	n/a	n/a	n/a	50
112.59	0	button press	n/a	n/a	n/a	n/a	n/a	54
112.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
113.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
116.99	4.83	CC	0.98	3	0	1	1	n/a
117.97	0	button press	n/a	n/a	n/a	n/a	n/a	51
119.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
123.44	4.83	CC	1.23	5	0	1	1	n/a
124.68	0	button press	n/a	n/a	n/a	n/a	n/a	51
125.59	0	button press	n/a	n/a	n/a	n/a	n/a	54
125.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
126.26	0	button press	n/a	n/a	n/a	n/a	n/a	54
129.20	4.83	AA	0.97	4	0	3	3	n/a
130.17	0	button press	n/a	n/a	n/a	n/a	n/a	50
131.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
136.85	4.83	AA	1.02	4	0	3	3	n/a
137.86	0	button press	n/a	n/a	n/a	n/a	n/a	50
139.06	0	button press	n/a	n/a	n/a	n/a	n/a	54
144.60	4.83	AA	0.88	4	0	3	3	n/a
145.49	0	button press	n/a	n/a	n/a	n/a	n/a	50
146.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
146.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
147.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
152.76	4.83	AA	0.85	4	0	3	3	n/a
153.61	0	button press	n/a	n/a	n/a	n/a	n/a	50
154.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
155.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
155.34	0	button press	n/a	n/a	n/a	n/a	n/a	55
155.87	0	button press	n/a	n/a	n/a	n/a	n/a	54
160.37	4.83	CC	1.05	5	0	1	1	n/a
161.42	0	button press	n/a	n/a	n/a	n/a	n/a	51
162.32	0	button press	n/a	n/a	n/a	n/a	n/a	54
162.55	0	button press	n/a	n/a	n/a	n/a	n/a	54
163.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
166.68	4.83	AA	1.10	6	0	3	3	n/a
167.78	0	button press	n/a	n/a	n/a	n/a	n/a	50
168.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
175.22	4.83	AA	0.75	4	0	3	3	n/a
175.97	0	button press	n/a	n/a	n/a	n/a	n/a	50
177.27	0	button press	n/a	n/a	n/a	n/a	n/a	54
177.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
177.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
181.51	4.83	AA	0.70	5	0	3	3	n/a
182.21	0	button press	n/a	n/a	n/a	n/a	n/a	50
183.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
188.62	4.83	AA	1.13	4	0	3	3	n/a
189.75	0	button press	n/a	n/a	n/a	n/a	n/a	50
190.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
190.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
192.20	0	button press	n/a	n/a	n/a	n/a	n/a	55
194.26	4.83	CA	1.18	3	0	1	3	n/a
195.45	0	button press	n/a	n/a	n/a	n/a	n/a	50
196.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
196.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
197.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
202.72	4.83	AA	0.78	4	0	3	3	n/a
203.50	0	button press	n/a	n/a	n/a	n/a	n/a	50
204.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
211.14	4.83	AA	0.68	5	0	3	3	n/a
211.83	0	button press	n/a	n/a	n/a	n/a	n/a	50
213.03	0	button press	n/a	n/a	n/a	n/a	n/a	54
213.49	0	button press	n/a	n/a	n/a	n/a	n/a	54
213.72	0	button press	n/a	n/a	n/a	n/a	n/a	54
213.94	0	button press	n/a	n/a	n/a	n/a	n/a	54
217.99	4.83	CA	0.88	2	0	1	3	n/a
218.87	0	button press	n/a	n/a	n/a	n/a	n/a	50
220.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
220.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
225.96	4.83	CA	1.33	1	0	1	3	n/a
227.29	0	button press	n/a	n/a	n/a	n/a	n/a	50
228.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
228.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
228.57	0	button press	n/a	n/a	n/a	n/a	n/a	55
228.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
233.04	4.83	CA	0.83	1	0	1	3	n/a
233.87	0	button press	n/a	n/a	n/a	n/a	n/a	50
234.98	0	button press	n/a	n/a	n/a	n/a	n/a	55
235.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
235.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
240.11	4.83	CC	0.75	3	0	1	1	n/a
240.86	0	button press	n/a	n/a	n/a	n/a	n/a	51
241.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
242.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
242.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
243.11	0	button press	n/a	n/a	n/a	n/a	n/a	55
248.37	4.83	AA	0.80	2	0	3	3	n/a
249.17	0	button press	n/a	n/a	n/a	n/a	n/a	50
250.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
250.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
256.69	4.83	CC	0.72	4	0	1	1	n/a
257.41	0	button press	n/a	n/a	n/a	n/a	n/a	51
259.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
264.08	4.83	CA	0.97	2	0	1	3	n/a
265.05	0	button press	n/a	n/a	n/a	n/a	n/a	50
266.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
266.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
266.66	0	button press	n/a	n/a	n/a	n/a	n/a	55
267.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
269.78	4.83	CC	0.72	4	0	1	1	n/a
270.49	0	button press	n/a	n/a	n/a	n/a	n/a	51
271.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
272.31	0	button press	n/a	n/a	n/a	n/a	n/a	54
277.82	4.83	CC	0.90	4	0	1	1	n/a
278.72	0	button press	n/a	n/a	n/a	n/a	n/a	51
284.64	4.83	CC	0.70	5	0	1	1	n/a
285.34	0	button press	n/a	n/a	n/a	n/a	n/a	51
291.12	4.83	AA	0.93	6	0	3	3	n/a
292.05	0	button press	n/a	n/a	n/a	n/a	n/a	50
293.05	0	button press	n/a	n/a	n/a	n/a	n/a	54
293.30	0	button press	n/a	n/a	n/a	n/a	n/a	54
293.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
297.03	4.83	CC	0.67	4	0	1	1	n/a
297.70	0	button press	n/a	n/a	n/a	n/a	n/a	51
299.51	0	button press	n/a	n/a	n/a	n/a	n/a	54
304.89	4.83	AA	1.08	3	0	3	3	n/a
305.97	0	button press	n/a	n/a	n/a	n/a	n/a	50
307.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
307.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
312.96	4.83	AA	0.73	5	0	3	3	n/a
313.69	0	button press	n/a	n/a	n/a	n/a	n/a	50
315.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
315.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
316.11	0	button press	n/a	n/a	n/a	n/a	n/a	54
329.73	4.83	YN	0.87	3	1	3	0	n/a
330.59	0	button press	n/a	n/a	n/a	n/a	n/a	51
333.20	0	button press	n/a	n/a	n/a	n/a	n/a	55
338.00	4.83	YY	0.85	4	1	3	1	n/a
338.85	0	button press	n/a	n/a	n/a	n/a	n/a	50
340.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
344.53	4.83	NN	0.78	4	1	0	0	n/a
345.31	0	button press	n/a	n/a	n/a	n/a	n/a	51
346.72	0	button press	n/a	n/a	n/a	n/a	n/a	54
346.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
347.22	0	button press	n/a	n/a	n/a	n/a	n/a	54
352.42	4.83	NN	0.68	4	1	0	0	n/a
353.10	0	button press	n/a	n/a	n/a	n/a	n/a	51
360.56	4.83	NN	0.65	4	1	0	0	n/a
361.21	0	button press	n/a	n/a	n/a	n/a	n/a	51
362.75	0	button press	n/a	n/a	n/a	n/a	n/a	54
367.93	4.83	NN	0.67	4	1	0	0	n/a
368.60	0	button press	n/a	n/a	n/a	n/a	n/a	51
369.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
370.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
370.48	0	button press	n/a	n/a	n/a	n/a	n/a	54
370.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
375.81	4.83	YN	0.83	4	1	3	0	n/a
376.64	0	button press	n/a	n/a	n/a	n/a	n/a	51
377.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
378.05	0	button press	n/a	n/a	n/a	n/a	n/a	54
378.25	0	button press	n/a	n/a	n/a	n/a	n/a	54
383.10	4.83	NN	0.68	4	1	0	0	n/a
383.78	0	button press	n/a	n/a	n/a	n/a	n/a	51
385.44	0	button press	n/a	n/a	n/a	n/a	n/a	54
385.66	0	button press	n/a	n/a	n/a	n/a	n/a	54
386.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
389.26	4.83	NN	0.80	4	1	0	0	n/a
390.06	0	button press	n/a	n/a	n/a	n/a	n/a	51
391.55	0	button press	n/a	n/a	n/a	n/a	n/a	54
391.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
391.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
397.28	4.83	NN	0.77	4	1	0	0	n/a
398.05	0	button press	n/a	n/a	n/a	n/a	n/a	51
399.48	0	button press	n/a	n/a	n/a	n/a	n/a	54
403.32	4.83	YY	0.78	5	1	1	1	n/a
404.11	0	button press	n/a	n/a	n/a	n/a	n/a	50
411.43	4.83	NN	0.77	4	1	0	0	n/a
412.20	0	button press	n/a	n/a	n/a	n/a	n/a	51
414.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
414.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
417.38	4.83	YY	0.87	4	1	1	1	n/a
418.24	0	button press	n/a	n/a	n/a	n/a	n/a	50
419.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
419.71	0	button press	n/a	n/a	n/a	n/a	n/a	55
419.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
424.77	4.83	YN	0.97	3	1	3	0	n/a
