onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	AA	1.17	5	0	3	3	n/a
28.00	0	button press	n/a	n/a	n/a	n/a	n/a	51
29.04	0	button press	n/a	n/a	n/a	n/a	n/a	54
35.41	4.83	AA	0.55	5	0	3	3	n/a
35.96	0	button press	n/a	n/a	n/a	n/a	n/a	51
37.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
38.31	0	button press	n/a	n/a	n/a	n/a	n/a	55
41.64	4.83	CA	0.92	1	0	1	3	n/a
42.55	0	button press	n/a	n/a	n/a	n/a	n/a	51
43.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
43.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
44.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
44.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
49.85	4.83	AA	0.91	6	0	3	3	n/a
50.76	0	button press	n/a	n/a	n/a	n/a	n/a	51
51.66	0	button press	n/a	n/a	n/a	n/a	n/a	55
57.12	4.83	CC	0.65	6	0	1	1	n/a
57.77	0	button press	n/a	n/a	n/a	n/a	n/a	50
59.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.79	4.83	CC	0.65	5	0	1	1	n/a
66.44	0	button press	n/a	n/a	n/a	n/a	n/a	50
68.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
71.70	4.83	AC	0.68	5	0	3	1	n/a
72.38	0	button press	n/a	n/a	n/a	n/a	n/a	50
73.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
80.04	4.83	CC	0.55	3	0	1	1	n/a
80.59	0	button press	n/a	n/a	n/a	n/a	n/a	50
87.58	4.83	AA	0.70	2	0	3	3	n/a
88.28	0	button press	n/a	n/a	n/a	n/a	n/a	51
89.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
89.88	0	button press	n/a	n/a	n/a	n/a	n/a	54
90.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
94.86	4.83	CC	0.78	5	0	1	1	n/a
95.64	0	button press	n/a	n/a	n/a	n/a	n/a	50
96.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
98.07	0	button press	n/a	n/a	n/a	n/a	n/a	54
102.02	4.83	CC	0.58	6	0	1	1	n/a
102.60	0	button press	n/a	n/a	n/a	n/a	n/a	50
103.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
104.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
104.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
104.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.92	4.83	AA	0.58	4	0	3	3	n/a
111.51	0	button press	n/a	n/a	n/a	n/a	n/a	51
118.35	4.83	CC	0.58	4	0	1	1	n/a
118.93	0	button press	n/a	n/a	n/a	n/a	n/a	50
120.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
125.16	4.83	AA	0.52	4	0	3	3	n/a
125.67	0	button press	n/a	n/a	n/a	n/a	n/a	51
127.64	0	button press	n/a	n/a	n/a	n/a	n/a	54
133.15	4.83	AC	0.85	1	0	3	1	n/a
134.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
134.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
135.41	0	button press	n/a	n/a	n/a	n/a	n/a	54
135.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
