onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	NY	0.94	3	1	0	1	n/a
27.77	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
29.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
34.81	4.83	NY	0.83	4	1	0	1	n/a
35.64	0	button press	n/a	n/a	n/a	n/a	n/a	50
36.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
37.11	0	button press	n/a	n/a	n/a	n/a	n/a	55
40.72	4.83	YY	0.81	6	1	1	1	n/a
41.54	0	button press	n/a	n/a	n/a	n/a	n/a	50
42.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
42.77	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.01	4.83	YN	0.85	4	1	3	0	n/a
49.86	0	button press	n/a	n/a	n/a	n/a	n/a	51
51.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
51.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
55.65	4.83	YN	0.88	4	1	3	0	n/a
56.54	0	button press	n/a	n/a	n/a	n/a	n/a	51
58.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.76	4.83	YY	1.08	2	1	3	1	n/a
63.85	0	button press	n/a	n/a	n/a	n/a	n/a	50
65.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
66.08	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.02	4.83	NY	1.40	2	1	0	1	n/a
70.42	0	button press	n/a	n/a	n/a	n/a	n/a	50
71.85	0	button press	n/a	n/a	n/a	n/a	n/a	54
76.68	4.83	YY	0.67	6	1	1	1	n/a
77.35	0	button press	n/a	n/a	n/a	n/a	n/a	50
78.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
78.56	0	button press	n/a	n/a	n/a	n/a	n/a	55
78.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
83.66	4.83	YY	0.93	5	1	3	1	n/a
84.59	0	button press	n/a	n/a	n/a	n/a	n/a	50
85.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
85.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.31	4.83	NY	0.75	5	1	0	1	n/a
92.06	0	button press	n/a	n/a	n/a	n/a	n/a	50
93.29	0	button press	n/a	n/a	n/a	n/a	n/a	55
93.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
97.62	4.83	YY	0.72	6	1	1	1	n/a
98.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
99.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
99.85	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
106.03	4.83	YN	1.03	3	1	1	0	n/a
107.06	0	button press	n/a	n/a	n/a	n/a	n/a	51
108.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
108.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
108.63	0	button press	n/a	n/a	n/a	n/a	n/a	54
108.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
114.60	4.83	YY	0.88	5	1	3	1	n/a
115.49	0	button press	n/a	n/a	n/a	n/a	n/a	50
116.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
116.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
116.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
117.35	0	button press	n/a	n/a	n/a	n/a	n/a	55
122.61	4.83	NY	1.18	3	1	0	1	n/a
123.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
124.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
125.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
126.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
129.52	4.83	YY	0.67	6	1	1	1	n/a
130.18	0	button press	n/a	n/a	n/a	n/a	n/a	50
131.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
131.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
131.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
131.98	0	button press	n/a	n/a	n/a	n/a	n/a	55
132.57	0	button press	n/a	n/a	n/a	n/a	n/a	55
136.71	4.83	NY	0.72	4	1	0	1	n/a
137.43	0	button press	n/a	n/a	n/a	n/a	n/a	50
138.63	0	button press	n/a	n/a	n/a	n/a	n/a	54
145.22	4.83	NN	1.00	4	1	0	0	n/a
