onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.84	4.83	CC	1.49	2	0	1	1	n/a
28.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
30.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.16	4.83	AA	1.17	6	0	3	3	n/a
35.33	0	button press	n/a	n/a	n/a	n/a	n/a	51
36.36	0	button press	n/a	n/a	n/a	n/a	n/a	54
37.14	0	button press	n/a	n/a	n/a	n/a	n/a	54
37.36	0	button press	n/a	n/a	n/a	n/a	n/a	54
37.54	0	button press	n/a	n/a	n/a	n/a	n/a	54
40.66	4.83	CC	1.32	6	0	1	1	n/a
41.97	0	button press	n/a	n/a	n/a	n/a	n/a	50
43.39	0	button press	n/a	n/a	n/a	n/a	n/a	54
43.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
47.76	4.83	AC	1.20	1	0	3	1	n/a
48.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
49.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
55.22	4.83	CC	1.10	6	0	1	1	n/a
56.32	0	button press	n/a	n/a	n/a	n/a	n/a	50
57.05	0	button press	n/a	n/a	n/a	n/a	n/a	54
57.37	0	button press	n/a	n/a	n/a	n/a	n/a	54
57.59	0	button press	n/a	n/a	n/a	n/a	n/a	54
57.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
57.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
58.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.00	4.83	AA	0.97	4	0	3	3	n/a
61.96	0	button press	n/a	n/a	n/a	n/a	n/a	51
62.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.04	4.83	AA	1.00	4	0	3	3	n/a
70.04	0	button press	n/a	n/a	n/a	n/a	n/a	51
71.39	0	button press	n/a	n/a	n/a	n/a	n/a	54
71.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
72.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.18	4.83	AA	0.98	3	0	3	3	n/a
76.16	0	button press	n/a	n/a	n/a	n/a	n/a	51
77.31	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.85	0	button press	n/a	n/a	n/a	n/a	n/a	55
78.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.97	4.83	CC	0.92	3	0	1	1	n/a
82.89	0	button press	n/a	n/a	n/a	n/a	n/a	50
84.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
84.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
88.40	4.83	AA	1.05	6	0	3	3	n/a
89.45	0	button press	n/a	n/a	n/a	n/a	n/a	51
90.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
90.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
90.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
90.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
91.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
94.48	4.83	CC	0.88	6	0	1	1	n/a
95.36	0	button press	n/a	n/a	n/a	n/a	n/a	50
96.07	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
97.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
101.52	4.83	AA	0.97	5	0	3	3	n/a
102.48	0	button press	n/a	n/a	n/a	n/a	n/a	51
103.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
