onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	CC	1.02	1	0	1	1	n/a
27.85	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
30.22	0	button press	n/a	n/a	n/a	n/a	n/a	54
30.48	0	button press	n/a	n/a	n/a	n/a	n/a	54
30.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
34.91	4.83	CC	1.17	2	0	1	1	n/a
36.08	0	button press	n/a	n/a	n/a	n/a	n/a	50
38.07	0	button press	n/a	n/a	n/a	n/a	n/a	54
38.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
42.97	4.83	AA	0.97	6	0	3	3	n/a
43.93	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.36	4.83	CC	0.78	4	0	1	1	n/a
50.14	0	button press	n/a	n/a	n/a	n/a	n/a	50
56.42	4.83	AA	0.68	6	0	3	3	n/a
57.10	0	button press	n/a	n/a	n/a	n/a	n/a	51
58.50	0	button press	n/a	n/a	n/a	n/a	n/a	54
59.35	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.21	4.83	CA	0.98	5	0	1	3	n/a
65.19	0	button press	n/a	n/a	n/a	n/a	n/a	51
66.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
66.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
66.84	0	button press	n/a	n/a	n/a	n/a	n/a	55
69.89	4.83	CA	1.07	4	0	1	3	n/a
70.95	0	button press	n/a	n/a	n/a	n/a	n/a	51
72.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
73.05	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.74	4.83	CA	1.25	1	0	1	3	n/a
78.99	0	button press	n/a	n/a	n/a	n/a	n/a	51
80.12	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.47	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.72	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.94	0	button press	n/a	n/a	n/a	n/a	n/a	54
