onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
19.98	0	button press	n/a	n/a	n/a	n/a	n/a	49
26.83	4.83	NN	1.16	3	1	0	0	n/a
27.99	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
33.18	4.83	YY	0.97	6	1	3	1	n/a
34.15	0	button press	n/a	n/a	n/a	n/a	n/a	51
35.31	0	button press	n/a	n/a	n/a	n/a	n/a	54
35.58	0	button press	n/a	n/a	n/a	n/a	n/a	54
35.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.34	4.83	NN	1.02	5	1	0	0	n/a
42.35	0	button press	n/a	n/a	n/a	n/a	n/a	50
43.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.66	4.83	YY	1.00	6	1	1	1	n/a
50.66	0	button press	n/a	n/a	n/a	n/a	n/a	51
51.58	0	button press	n/a	n/a	n/a	n/a	n/a	54
51.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.09	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.36	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.77	0	button press	n/a	n/a	n/a	n/a	n/a	54
55.47	4.83	YN	1.40	3	1	1	0	n/a
56.87	0	button press	n/a	n/a	n/a	n/a	n/a	50
57.72	0	button press	n/a	n/a	n/a	n/a	n/a	54
58.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.38	4.83	YY	0.95	6	1	1	1	n/a
62.33	0	button press	n/a	n/a	n/a	n/a	n/a	51
63.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
64.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.29	4.83	YY	1.13	2	1	3	1	n/a
68.42	0	button press	n/a	n/a	n/a	n/a	n/a	51
70.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
75.70	4.83	NY	1.00	2	1	0	1	n/a
76.70	0	button press	n/a	n/a	n/a	n/a	n/a	51
77.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
78.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
82.22	4.83	YY	0.97	3	1	3	1	n/a
83.19	0	button press	n/a	n/a	n/a	n/a	n/a	51
84.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
85.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
86.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
90.10	4.83	YY	0.93	4	1	3	1	n/a
91.03	0	button press	n/a	n/a	n/a	n/a	n/a	51
92.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
94.14	0	button press	n/a	n/a	n/a	n/a	n/a	54
99.07	4.83	missed_trial	n/a	n/a	1	0	n/a	n/a
100.65	0	button press	n/a	n/a	n/a	n/a	n/a	50
106.91	4.83	YN	0.97	4	1	1	0	n/a
107.88	0	button press	n/a	n/a	n/a	n/a	n/a	50
109.13	0	button press	n/a	n/a	n/a	n/a	n/a	54
