onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	NN	0.68	4	1	0	0	n/a
27.51	0	button press	n/a	n/a	n/a	n/a	n/a	51
29.05	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
30.24	0	button press	n/a	n/a	n/a	n/a	n/a	54
34.28	4.83	YY	0.64	5	1	1	1	n/a
34.92	0	button press	n/a	n/a	n/a	n/a	n/a	50
36.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
36.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
41.27	4.83	NN	0.95	3	1	0	0	n/a
42.22	0	button press	n/a	n/a	n/a	n/a	n/a	51
43.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
47.15	4.83	NN	0.87	5	1	0	0	n/a
48.01	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
55.60	4.83	NN	0.78	4	1	0	0	n/a
56.39	0	button press	n/a	n/a	n/a	n/a	n/a	51
57.87	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.16	4.83	YN	0.73	4	1	1	0	n/a
62.90	0	button press	n/a	n/a	n/a	n/a	n/a	51
64.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.49	4.83	YY	0.63	6	1	3	1	n/a
71.12	0	button press	n/a	n/a	n/a	n/a	n/a	50
72.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
73.03	0	button press	n/a	n/a	n/a	n/a	n/a	55
76.91	4.83	NN	0.80	4	1	0	0	n/a
77.71	0	button press	n/a	n/a	n/a	n/a	n/a	51
79.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.24	4.83	NY	1.06	4	1	0	1	n/a
85.30	0	button press	n/a	n/a	n/a	n/a	n/a	50
86.50	0	button press	n/a	n/a	n/a	n/a	n/a	54
87.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
91.76	4.83	YY	1.05	2	1	1	1	n/a
92.81	0	button press	n/a	n/a	n/a	n/a	n/a	50
93.91	0	button press	n/a	n/a	n/a	n/a	n/a	54
94.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
94.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
100.74	4.83	NY	0.88	4	1	0	1	n/a
101.62	0	button press	n/a	n/a	n/a	n/a	n/a	50
102.98	0	button press	n/a	n/a	n/a	n/a	n/a	54
103.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
108.36	4.83	YY	0.63	6	1	3	1	n/a
108.99	0	button press	n/a	n/a	n/a	n/a	n/a	50
110.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
116.17	4.83	YY	0.63	6	1	3	1	n/a
116.80	0	button press	n/a	n/a	n/a	n/a	n/a	50
118.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
119.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
119.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
124.34	4.83	YN	1.25	4	1	1	0	n/a
125.59	0	button press	n/a	n/a	n/a	n/a	n/a	51
126.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
127.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
