onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	AA	0.83	3	0	3	3	n/a
27.65	0	button press	n/a	n/a	n/a	n/a	n/a	50
29.10	0	button press	n/a	n/a	n/a	n/a	n/a	54
34.23	4.83	AC	0.65	1	0	3	1	n/a
34.88	0	button press	n/a	n/a	n/a	n/a	n/a	51
36.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
40.26	4.83	CA	1.53	3	0	1	3	n/a
41.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
42.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.03	4.83	CA	0.73	1	0	1	3	n/a
49.76	0	button press	n/a	n/a	n/a	n/a	n/a	50
51.11	0	button press	n/a	n/a	n/a	n/a	n/a	55
57.49	4.83	CC	0.81	5	0	1	1	n/a
58.30	0	button press	n/a	n/a	n/a	n/a	n/a	51
59.53	0	button press	n/a	n/a	n/a	n/a	n/a	54
59.83	0	button press	n/a	n/a	n/a	n/a	n/a	54
60.07	0	button press	n/a	n/a	n/a	n/a	n/a	54
66.27	4.83	AA	1.10	6	0	3	3	n/a
67.37	0	button press	n/a	n/a	n/a	n/a	n/a	50
74.55	4.83	CA	0.73	1	0	1	3	n/a
75.28	0	button press	n/a	n/a	n/a	n/a	n/a	50
76.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
76.66	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.50	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.02	4.83	AC	1.12	1	0	3	1	n/a
82.14	0	button press	n/a	n/a	n/a	n/a	n/a	51
82.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
83.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
88.65	4.83	CC	0.98	4	0	1	1	n/a
89.63	0	button press	n/a	n/a	n/a	n/a	n/a	51
90.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
