onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.87	4.83	YY	1.23	6	1	3	1	n/a
28.10	0	button press	n/a	n/a	n/a	n/a	n/a	51
29.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
32.73	4.83	YY	1.17	6	1	3	1	n/a
33.90	0	button press	n/a	n/a	n/a	n/a	n/a	51
34.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
39.71	4.83	NY	1.05	6	1	0	1	n/a
40.76	0	button press	n/a	n/a	n/a	n/a	n/a	51
41.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
46.85	4.83	YY	0.82	6	1	1	1	n/a
47.66	0	button press	n/a	n/a	n/a	n/a	n/a	51
48.65	0	button press	n/a	n/a	n/a	n/a	n/a	55
48.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
55.02	4.83	YY	0.68	6	1	1	1	n/a
55.71	0	button press	n/a	n/a	n/a	n/a	n/a	51
56.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
62.33	4.83	YY	0.78	6	1	3	1	n/a
63.11	0	button press	n/a	n/a	n/a	n/a	n/a	51
64.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.51	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.71	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.37	4.83	NN	0.93	5	1	0	0	n/a
71.30	0	button press	n/a	n/a	n/a	n/a	n/a	50
72.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
73.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
78.95	4.83	YY	0.58	6	1	1	1	n/a
79.53	0	button press	n/a	n/a	n/a	n/a	n/a	51
80.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.04	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
85.57	4.83	YY	0.68	6	1	1	1	n/a
86.25	0	button press	n/a	n/a	n/a	n/a	n/a	51
87.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
87.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
87.85	0	button press	n/a	n/a	n/a	n/a	n/a	55
88.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.85	4.83	YY	0.77	6	1	3	1	n/a
92.61	0	button press	n/a	n/a	n/a	n/a	n/a	51
93.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
94.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
94.21	0	button press	n/a	n/a	n/a	n/a	n/a	55
94.41	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.05	4.83	NN	0.97	5	1	0	0	n/a
101.02	0	button press	n/a	n/a	n/a	n/a	n/a	50
101.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
108.26	4.83	NN	0.83	5	1	0	0	n/a
109.09	0	button press	n/a	n/a	n/a	n/a	n/a	50
