onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	YN	0.89	3	1	1	0	n/a
27.72	0	button press	n/a	n/a	n/a	n/a	n/a	50
28.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
32.87	4.83	YY	0.68	6	1	3	1	n/a
33.55	0	button press	n/a	n/a	n/a	n/a	n/a	51
34.70	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.96	0	button press	n/a	n/a	n/a	n/a	n/a	55
39.94	4.83	YY	0.67	6	1	1	1	n/a
40.61	0	button press	n/a	n/a	n/a	n/a	n/a	51
41.82	0	button press	n/a	n/a	n/a	n/a	n/a	55
47.56	4.83	YY	0.72	6	1	1	1	n/a
48.28	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.46	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
49.96	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.14	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
55.64	4.83	NN	0.70	6	1	0	0	n/a
56.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
57.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
63.51	4.83	YY	0.77	6	1	3	1	n/a
64.28	0	button press	n/a	n/a	n/a	n/a	n/a	51
65.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
65.96	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.09	4.83	NN	0.73	4	1	0	0	n/a
72.82	0	button press	n/a	n/a	n/a	n/a	n/a	50
74.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
74.47	0	button press	n/a	n/a	n/a	n/a	n/a	55
74.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
80.33	4.83	NN	0.78	6	1	0	0	n/a
81.11	0	button press	n/a	n/a	n/a	n/a	n/a	50
87.35	4.83	NN	0.77	5	1	0	0	n/a
88.12	0	button press	n/a	n/a	n/a	n/a	n/a	50
89.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
89.65	0	button press	n/a	n/a	n/a	n/a	n/a	55
90.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
90.56	0	button press	n/a	n/a	n/a	n/a	n/a	55
93.78	4.83	YY	1.07	6	1	3	1	n/a
94.84	0	button press	n/a	n/a	n/a	n/a	n/a	51
