onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	NN	0.93	6	1	0	0	n/a
27.76	0	button press	n/a	n/a	n/a	n/a	n/a	50
28.74	0	button press	n/a	n/a	n/a	n/a	n/a	54
33.75	4.83	YY	0.60	6	1	3	1	n/a
34.35	0	button press	n/a	n/a	n/a	n/a	n/a	51
35.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
35.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
36.01	0	button press	n/a	n/a	n/a	n/a	n/a	54
36.19	0	button press	n/a	n/a	n/a	n/a	n/a	54
36.54	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.72	4.83	YY	0.63	6	1	1	1	n/a
40.36	0	button press	n/a	n/a	n/a	n/a	n/a	51
41.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
41.97	0	button press	n/a	n/a	n/a	n/a	n/a	54
42.14	0	button press	n/a	n/a	n/a	n/a	n/a	54
42.49	0	button press	n/a	n/a	n/a	n/a	n/a	54
48.01	4.83	NN	1.12	2	1	0	0	n/a
49.13	0	button press	n/a	n/a	n/a	n/a	n/a	50
49.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.36	0	button press	n/a	n/a	n/a	n/a	n/a	54
55.64	4.83	YY	0.67	6	1	3	1	n/a
56.30	0	button press	n/a	n/a	n/a	n/a	n/a	51
57.52	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.40	4.83	YY	0.57	6	1	3	1	n/a
61.96	0	button press	n/a	n/a	n/a	n/a	n/a	51
63.23	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.63	0	button press	n/a	n/a	n/a	n/a	n/a	54
63.80	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.13	4.83	YY	0.50	6	1	3	1	n/a
67.62	0	button press	n/a	n/a	n/a	n/a	n/a	51
68.97	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.36	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.52	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.69	0	button press	n/a	n/a	n/a	n/a	n/a	54
74.58	4.83	NN	0.83	3	1	0	0	n/a
75.42	0	button press	n/a	n/a	n/a	n/a	n/a	50
76.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
76.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
82.39	4.83	YY	0.68	6	1	1	1	n/a
83.07	0	button press	n/a	n/a	n/a	n/a	n/a	51
84.26	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
84.80	0	button press	n/a	n/a	n/a	n/a	n/a	54
91.18	4.83	NY	1.17	3	1	0	1	n/a
92.35	0	button press	n/a	n/a	n/a	n/a	n/a	51
93.14	0	button press	n/a	n/a	n/a	n/a	n/a	55
93.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
93.59	0	button press	n/a	n/a	n/a	n/a	n/a	55
99.79	4.83	NY	1.10	1	1	0	1	n/a
100.89	0	button press	n/a	n/a	n/a	n/a	n/a	51
101.75	0	button press	n/a	n/a	n/a	n/a	n/a	55
101.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
102.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
102.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
107.08	4.83	YY	0.95	3	1	1	1	n/a
108.03	0	button press	n/a	n/a	n/a	n/a	n/a	51
109.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
