onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	CC	1.03	1	0	1	1	n/a
27.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
33.51	4.83	AA	0.78	6	0	3	3	n/a
34.30	0	button press	n/a	n/a	n/a	n/a	n/a	50
35.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
39.37	4.83	CC	0.85	2	0	1	1	n/a
40.22	0	button press	n/a	n/a	n/a	n/a	n/a	51
41.67	0	button press	n/a	n/a	n/a	n/a	n/a	55
42.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
45.85	4.83	missed_trial	n/a	n/a	0	3	n/a	n/a
46.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
47.55	0	button press	n/a	n/a	n/a	n/a	n/a	50
52.14	4.83	AA	0.85	4	0	3	3	n/a
52.99	0	button press	n/a	n/a	n/a	n/a	n/a	50
55.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.20	4.83	CC	0.65	6	0	1	1	n/a
59.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
61.35	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.86	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.11	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.27	4.83	CC	0.75	6	0	1	1	n/a
68.02	0	button press	n/a	n/a	n/a	n/a	n/a	51
69.54	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.87	0	button press	n/a	n/a	n/a	n/a	n/a	54
73.88	4.83	CC	0.96	4	0	1	1	n/a
74.85	0	button press	n/a	n/a	n/a	n/a	n/a	51
76.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
77.20	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.36	4.83	AA	0.95	1	0	3	3	n/a
82.31	0	button press	n/a	n/a	n/a	n/a	n/a	50
83.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
87.22	4.83	CC	0.83	1	0	1	1	n/a
88.05	0	button press	n/a	n/a	n/a	n/a	n/a	51
89.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
