onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	CC	0.74	6	0	1	1	n/a
27.57	0	button press	n/a	n/a	n/a	n/a	n/a	50
28.79	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.29	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
30.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
32.62	4.83	CC	0.72	5	0	1	1	n/a
33.33	0	button press	n/a	n/a	n/a	n/a	n/a	50
38.41	4.83	AC	1.12	3	0	3	1	n/a
39.52	0	button press	n/a	n/a	n/a	n/a	n/a	50
40.41	0	button press	n/a	n/a	n/a	n/a	n/a	54
46.82	4.83	AA	0.68	5	0	3	3	n/a
47.50	0	button press	n/a	n/a	n/a	n/a	n/a	51
48.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
54.54	4.83	CC	0.82	4	0	1	1	n/a
55.36	0	button press	n/a	n/a	n/a	n/a	n/a	50
56.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
62.15	4.83	AA	0.93	5	0	3	3	n/a
63.08	0	button press	n/a	n/a	n/a	n/a	n/a	51
64.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.64	4.83	CC	0.70	6	0	1	1	n/a
70.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
71.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
71.87	0	button press	n/a	n/a	n/a	n/a	n/a	55
72.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
75.98	4.83	AA	0.93	4	0	3	3	n/a
76.91	0	button press	n/a	n/a	n/a	n/a	n/a	51
78.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
81.77	4.83	AA	0.77	6	0	3	3	n/a
82.54	0	button press	n/a	n/a	n/a	n/a	n/a	51
83.66	0	button press	n/a	n/a	n/a	n/a	n/a	55
83.91	0	button press	n/a	n/a	n/a	n/a	n/a	55
84.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
90.22	4.83	AA	0.70	6	0	3	3	n/a
90.91	0	button press	n/a	n/a	n/a	n/a	n/a	51
92.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
98.09	4.83	AA	0.68	6	0	3	3	n/a
98.77	0	button press	n/a	n/a	n/a	n/a	n/a	51
100.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
100.74	0	button press	n/a	n/a	n/a	n/a	n/a	55
105.15	4.83	CC	0.80	4	0	1	1	n/a
105.95	0	button press	n/a	n/a	n/a	n/a	n/a	50
108.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
111.61	4.83	AA	0.97	3	0	3	3	n/a
112.57	0	button press	n/a	n/a	n/a	n/a	n/a	51
113.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
114.20	0	button press	n/a	n/a	n/a	n/a	n/a	54
114.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
117.82	4.83	AA	0.85	5	0	3	3	n/a
118.67	0	button press	n/a	n/a	n/a	n/a	n/a	51
119.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.03	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
126.77	4.83	CA	0.65	5	0	1	3	n/a
127.42	0	button press	n/a	n/a	n/a	n/a	n/a	51
128.77	0	button press	n/a	n/a	n/a	n/a	n/a	55
129.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
134.15	4.83	CC	0.80	2	0	1	1	n/a
134.95	0	button press	n/a	n/a	n/a	n/a	n/a	50
137.01	0	button press	n/a	n/a	n/a	n/a	n/a	54
143.15	4.83	AC	0.95	5	0	3	1	n/a
144.10	0	button press	n/a	n/a	n/a	n/a	n/a	50
145.14	0	button press	n/a	n/a	n/a	n/a	n/a	55
145.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
145.63	0	button press	n/a	n/a	n/a	n/a	n/a	55
151.48	4.83	AA	1.08	4	0	3	3	n/a
152.56	0	button press	n/a	n/a	n/a	n/a	n/a	51
153.88	0	button press	n/a	n/a	n/a	n/a	n/a	54
154.21	0	button press	n/a	n/a	n/a	n/a	n/a	54
159.22	4.83	CC	0.70	6	0	1	1	n/a
159.92	0	button press	n/a	n/a	n/a	n/a	n/a	50
161.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
161.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
161.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
161.83	0	button press	n/a	n/a	n/a	n/a	n/a	55
164.93	4.83	AA	0.75	4	0	3	3	n/a
165.68	0	button press	n/a	n/a	n/a	n/a	n/a	51
167.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
171.46	4.83	CC	0.66	5	0	1	1	n/a
172.12	0	button press	n/a	n/a	n/a	n/a	n/a	50
178.90	4.83	AA	0.77	4	0	3	3	n/a
179.66	0	button press	n/a	n/a	n/a	n/a	n/a	51
181.41	0	button press	n/a	n/a	n/a	n/a	n/a	54
184.79	4.83	CC	0.83	3	0	1	1	n/a
185.62	0	button press	n/a	n/a	n/a	n/a	n/a	50
187.14	0	button press	n/a	n/a	n/a	n/a	n/a	55
190.45	4.83	AC	1.05	3	0	3	1	n/a
191.50	0	button press	n/a	n/a	n/a	n/a	n/a	50
196.31	4.83	CC	0.82	5	0	1	1	n/a
197.13	0	button press	n/a	n/a	n/a	n/a	n/a	50
198.19	0	button press	n/a	n/a	n/a	n/a	n/a	55
198.49	0	button press	n/a	n/a	n/a	n/a	n/a	55
205.28	4.83	CC	1.25	3	0	1	1	n/a
206.53	0	button press	n/a	n/a	n/a	n/a	n/a	50
207.41	0	button press	n/a	n/a	n/a	n/a	n/a	55
214.27	4.83	CC	1.07	2	0	1	1	n/a
215.34	0	button press	n/a	n/a	n/a	n/a	n/a	50
216.57	0	button press	n/a	n/a	n/a	n/a	n/a	55
218.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
220.77	4.83	CC	0.80	5	0	1	1	n/a
221.56	0	button press	n/a	n/a	n/a	n/a	n/a	50
222.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
226.39	4.83	AA	0.62	6	0	3	3	n/a
227.01	0	button press	n/a	n/a	n/a	n/a	n/a	51
228.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
234.78	4.83	CC	1.13	4	0	1	1	n/a
235.91	0	button press	n/a	n/a	n/a	n/a	n/a	50
237.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
