onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	AA	0.81	4	0	3	3	n/a
27.64	0	button press	n/a	n/a	n/a	n/a	n/a	51
35.01	4.83	CC	0.73	5	0	1	1	n/a
35.74	0	button press	n/a	n/a	n/a	n/a	n/a	50
37.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
43.25	4.83	AA	0.68	4	0	3	3	n/a
43.93	0	button press	n/a	n/a	n/a	n/a	n/a	51
45.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
45.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.38	4.83	CA	0.77	3	0	1	3	n/a
51.14	0	button press	n/a	n/a	n/a	n/a	n/a	51
57.39	4.83	CC	0.77	3	0	1	1	n/a
58.15	0	button press	n/a	n/a	n/a	n/a	n/a	50
59.33	0	button press	n/a	n/a	n/a	n/a	n/a	55
59.58	0	button press	n/a	n/a	n/a	n/a	n/a	55
60.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
63.13	4.83	AA	0.55	6	0	3	3	n/a
63.68	0	button press	n/a	n/a	n/a	n/a	n/a	51
64.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.79	4.83	AA	0.50	6	0	3	3	n/a
70.29	0	button press	n/a	n/a	n/a	n/a	n/a	51
71.39	0	button press	n/a	n/a	n/a	n/a	n/a	54
71.58	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.38	4.83	CC	0.75	3	0	1	1	n/a
79.13	0	button press	n/a	n/a	n/a	n/a	n/a	50
80.94	0	button press	n/a	n/a	n/a	n/a	n/a	54
81.11	0	button press	n/a	n/a	n/a	n/a	n/a	54
85.07	4.83	AC	0.93	2	0	3	1	n/a
86.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
87.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
88.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
93.79	4.83	AA	0.55	5	0	3	3	n/a
94.34	0	button press	n/a	n/a	n/a	n/a	n/a	51
95.62	0	button press	n/a	n/a	n/a	n/a	n/a	54
95.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.01	0	button press	n/a	n/a	n/a	n/a	n/a	54
99.57	4.83	AA	0.63	4	0	3	3	n/a
100.20	0	button press	n/a	n/a	n/a	n/a	n/a	51
101.48	0	button press	n/a	n/a	n/a	n/a	n/a	55
