onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	YY	1.08	4	1	1	1	n/a
27.90	0	button press	n/a	n/a	n/a	n/a	n/a	51
28.94	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.73	4.83	YN	0.90	3	1	3	0	n/a
35.63	0	button press	n/a	n/a	n/a	n/a	n/a	50
42.40	4.83	YY	0.62	6	1	1	1	n/a
43.02	0	button press	n/a	n/a	n/a	n/a	n/a	51
44.25	0	button press	n/a	n/a	n/a	n/a	n/a	55
44.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
44.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
45.45	0	button press	n/a	n/a	n/a	n/a	n/a	55
50.09	4.83	NN	0.83	5	1	0	0	n/a
50.93	0	button press	n/a	n/a	n/a	n/a	n/a	50
52.01	0	button press	n/a	n/a	n/a	n/a	n/a	55
52.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
52.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
57.65	4.83	YY	0.87	4	1	3	1	n/a
58.52	0	button press	n/a	n/a	n/a	n/a	n/a	51
60.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
64.64	4.83	NN	0.78	3	1	0	0	n/a
65.43	0	button press	n/a	n/a	n/a	n/a	n/a	50
66.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
67.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
73.38	4.83	NN	0.97	4	1	0	0	n/a
74.35	0	button press	n/a	n/a	n/a	n/a	n/a	50
75.38	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.51	4.83	YY	0.68	6	1	3	1	n/a
81.19	0	button press	n/a	n/a	n/a	n/a	n/a	51
82.24	0	button press	n/a	n/a	n/a	n/a	n/a	55
82.58	0	button press	n/a	n/a	n/a	n/a	n/a	55
88.60	4.83	NN	0.70	4	1	0	0	n/a
89.30	0	button press	n/a	n/a	n/a	n/a	n/a	50
90.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
90.78	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
91.33	0	button press	n/a	n/a	n/a	n/a	n/a	55
95.36	4.83	NN	1.05	5	1	0	0	n/a
96.41	0	button press	n/a	n/a	n/a	n/a	n/a	50
97.79	0	button press	n/a	n/a	n/a	n/a	n/a	54
101.30	4.83	YY	0.68	6	1	1	1	n/a
101.98	0	button press	n/a	n/a	n/a	n/a	n/a	51
103.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
103.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
108.54	4.83	NN	0.92	5	1	0	0	n/a
109.46	0	button press	n/a	n/a	n/a	n/a	n/a	50
110.68	0	button press	n/a	n/a	n/a	n/a	n/a	55
111.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
111.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
114.26	4.83	YN	1.35	4	1	3	0	n/a
115.60	0	button press	n/a	n/a	n/a	n/a	n/a	50
116.84	0	button press	n/a	n/a	n/a	n/a	n/a	55
120.71	4.83	NN	0.99	4	1	0	0	n/a
121.70	0	button press	n/a	n/a	n/a	n/a	n/a	50
122.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
126.34	4.83	NN	0.88	3	1	0	0	n/a
127.22	0	button press	n/a	n/a	n/a	n/a	n/a	50
128.70	0	button press	n/a	n/a	n/a	n/a	n/a	55
133.32	4.83	YN	0.55	4	1	3	0	n/a
133.86	0	button press	n/a	n/a	n/a	n/a	n/a	50
135.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
135.56	0	button press	n/a	n/a	n/a	n/a	n/a	54
135.85	0	button press	n/a	n/a	n/a	n/a	n/a	54
139.73	4.83	YY	0.82	4	1	1	1	n/a
140.54	0	button press	n/a	n/a	n/a	n/a	n/a	51
141.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
146.10	4.83	YN	0.72	3	1	3	0	n/a
146.82	0	button press	n/a	n/a	n/a	n/a	n/a	50
148.42	0	button press	n/a	n/a	n/a	n/a	n/a	55
148.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
154.53	4.83	NN	0.70	3	1	0	0	n/a
155.22	0	button press	n/a	n/a	n/a	n/a	n/a	50
156.62	0	button press	n/a	n/a	n/a	n/a	n/a	55
161.67	4.83	YN	0.60	3	1	1	0	n/a
162.27	0	button press	n/a	n/a	n/a	n/a	n/a	50
163.61	0	button press	n/a	n/a	n/a	n/a	n/a	55
163.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
167.86	4.83	NN	0.62	3	1	0	0	n/a
168.48	0	button press	n/a	n/a	n/a	n/a	n/a	50
169.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
170.29	0	button press	n/a	n/a	n/a	n/a	n/a	55
176.93	4.83	NN	0.65	3	1	0	0	n/a
177.58	0	button press	n/a	n/a	n/a	n/a	n/a	50
179.10	0	button press	n/a	n/a	n/a	n/a	n/a	55
179.43	0	button press	n/a	n/a	n/a	n/a	n/a	55
184.57	4.83	NN	0.68	3	1	0	0	n/a
185.26	0	button press	n/a	n/a	n/a	n/a	n/a	50
186.54	0	button press	n/a	n/a	n/a	n/a	n/a	55
187.07	0	button press	n/a	n/a	n/a	n/a	n/a	55
191.50	4.83	NN	0.68	4	1	0	0	n/a
192.18	0	button press	n/a	n/a	n/a	n/a	n/a	50
193.50	0	button press	n/a	n/a	n/a	n/a	n/a	55
198.92	4.83	NN	0.60	3	1	0	0	n/a
199.52	0	button press	n/a	n/a	n/a	n/a	n/a	50
200.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
207.86	4.83	YN	0.56	4	1	3	0	n/a
208.43	0	button press	n/a	n/a	n/a	n/a	n/a	50
210.44	0	button press	n/a	n/a	n/a	n/a	n/a	54
214.31	4.83	YN	0.71	3	1	1	0	n/a
215.02	0	button press	n/a	n/a	n/a	n/a	n/a	50
216.59	0	button press	n/a	n/a	n/a	n/a	n/a	54
216.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
217.27	0	button press	n/a	n/a	n/a	n/a	n/a	54
222.88	4.83	YY	1.10	4	1	3	1	n/a
223.98	0	button press	n/a	n/a	n/a	n/a	n/a	51
