onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
26.83	4.83	NN	1.19	1	1	0	0	n/a
28.02	0	button press	n/a	n/a	n/a	n/a	n/a	50
28.97	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
29.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
34.50	4.83	YN	0.85	5	1	3	0	n/a
35.35	0	button press	n/a	n/a	n/a	n/a	n/a	50
36.66	0	button press	n/a	n/a	n/a	n/a	n/a	54
40.69	4.83	YY	0.95	4	1	1	1	n/a
41.64	0	button press	n/a	n/a	n/a	n/a	n/a	51
46.55	4.83	NY	1.25	5	1	0	1	n/a
47.80	0	button press	n/a	n/a	n/a	n/a	n/a	51
49.05	0	button press	n/a	n/a	n/a	n/a	n/a	54
54.16	4.83	NN	1.03	6	1	0	0	n/a
55.19	0	button press	n/a	n/a	n/a	n/a	n/a	50
56.15	0	button press	n/a	n/a	n/a	n/a	n/a	54
56.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
56.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
56.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.43	4.83	NN	1.02	2	1	0	0	n/a
63.45	0	button press	n/a	n/a	n/a	n/a	n/a	50
65.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
68.12	4.83	YN	1.25	1	1	1	0	n/a
69.37	0	button press	n/a	n/a	n/a	n/a	n/a	50
70.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.47	0	button press	n/a	n/a	n/a	n/a	n/a	55
70.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
75.90	4.83	YN	0.88	6	1	3	0	n/a
76.78	0	button press	n/a	n/a	n/a	n/a	n/a	50
83.01	4.83	YY	0.82	4	1	3	1	n/a
83.82	0	button press	n/a	n/a	n/a	n/a	n/a	51
85.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
89.42	4.83	YN	0.95	5	1	3	0	n/a
90.36	0	button press	n/a	n/a	n/a	n/a	n/a	50
96.26	4.83	YY	0.98	5	1	3	1	n/a
97.24	0	button press	n/a	n/a	n/a	n/a	n/a	51
